product,rating,rating count,price,product url
LONDON FOG Baby Boys' Color Blocked Puffer Jacket Coat with Hat  ,4.7 out of 5 stars,16  ,24.99,https://amazon.com/LONDON-FOG-Blocked-Puffer-Jacket/dp/B095XP9PS7/ref=sr_1_215?keywords=winter+jacket&qid=1655213918&sr=8-215
MARMOT Women's Strollbridge Jacket  ,4.7 out of 5 stars,100  ,229.95,https://amazon.com/Marmot-Womens-Strollbridge-Jacket-Medium/dp/B01N0GWP2G/ref=sr_1_241?keywords=winter+jacket&qid=1655213922&sr=8-241
Carhartt Girls' Redwood Jacket Sherpa Lined  ,4.8 out of 5 stars,"2,873  ",57.99,https://amazon.com/Carhartt-Girls-Redwood-Jacket-Medium/dp/B00CFHAD8A/ref=sr_1_259?keywords=winter+jacket&qid=1655213922&sr=8-259
Carhartt Men's Thermal Lined Duck Active Jacket J131 (Regular and Big & Tall Sizes)  ,4.7 out of 5 stars,"4,434  ",89.99,https://amazon.com/Carhartt-Thermal-Active-Jacket-X-Large/dp/B002GHC2LU/ref=sr_1_264?keywords=winter+jacket&qid=1655213922&sr=8-264
Columbia Mens Grand Wall™ Jacket  ,4.7 out of 5 stars,129  ,143.7,https://amazon.com/Columbia-Mens-Grand-Wall-Jacket/dp/B0814BW1W6/ref=sr_1_270?keywords=winter+jacket&qid=1655213922&sr=8-270
Pioneer Camp Men's Winter Coats Water-Repellent Windproof Thicken Parkas Long Hooded Padded Puffer Jacket  ,4.5 out of 5 stars,512  ,139.99,https://amazon.com/Pioneer-Camp-Water-Repellent-Windproof-Thicken/dp/B07YP6V4XH/ref=sr_1_282?keywords=winter+jacket&qid=1655213922&sr=8-282
The North Face Infant Glacier Full Zip Hoodie Fleece Kids  ,4.8 out of 5 stars,344  ,34.95,https://amazon.com/North-Face-Infant-Glacier-Hoodie/dp/B095YBFV5G/ref=sr_1_283?keywords=winter+jacket&qid=1655213922&sr=8-283
French Connection Teddy Faux Shearling Coat for Women-Open Front Lapel Midi Coat  ,4.4 out of 5 stars,624  ,78.99,https://amazon.com/French-Connection-Womens-Shearling-Cognac/dp/B07CZKLFC9/ref=sr_1_285?keywords=winter+jacket&qid=1655213922&sr=8-285
The North Face Infant Glacier Full Zip Hoodie Fleece Kids  ,4.8 out of 5 stars,344  ,34.95,https://amazon.com/North-Face-Infant-Glacier-Hoodie/dp/B095YBFV5G/ref=sr_1_289?keywords=winter+jacket&qid=1655213925&sr=8-289
"ZEFOTIM Plus Size Rain Jackets For Women,Women Solid Rain Jacket Outdoor Plus Waterproof Hooded Raincoat Windproof  ",4.6 out of 5 stars,6  ,18.89,https://amazon.com/ZEFOTIM-Jackets-Waterproof-Raincoat-Windproof/dp/B09LLX1XLV/ref=sr_1_290?keywords=winter+jacket&qid=1655213925&sr=8-290
French Connection Teddy Faux Shearling Coat for Women-Open Front Lapel Midi Coat  ,4.4 out of 5 stars,624  ,78.99,https://amazon.com/French-Connection-Womens-Shearling-Cognac/dp/B07CZKLFC9/ref=sr_1_291?keywords=winter+jacket&qid=1655213925&sr=8-291
Columbia Men's Grand Trek Down Jacket  ,4.6 out of 5 stars,402  ,199.95,https://amazon.com/Columbia-Grand-Jacket-Black-Medium/dp/B07JW2SZT6/ref=sr_1_301?keywords=winter+jacket&qid=1655213925&sr=8-301
